"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202203","4호선","미아(서울사이버대학)","44","2","9361","1255","18741","4575","42991","16935","47311","30070","28965","16251","20622","13561","19672","15960","20186","14588","20105","16233","19442","18544","19973","21753","23718","24413","23584","31326","24684","42200","14655","35078","9551","21032","7623","18837","7828","16848","1790","11928","5","32","0","0","1","1","0","0","20220403"
"202203","4호선","서울역","167","0","3577","492","4755","9040","10507","27285","13353","60786","9736","33227","8213","17527","9633","15154","10502","18235","10220","18009","10537","17098","11820","18458","14238","20213","32582","23666","45832","26059","17100","18267","10692","12328","9515","11363","7388","10413","2825","6089","6","1484","0","0","0","1","0","0","20220403"
"202203","6호선","봉화산(서울의료원)","31","1","4249","883","13127","2378","42066","5283","33911","11756","15839","6270","11292","5347","9645","5416","9931","7156","9628","8338","8769","8034","8169","10184","8522","11891","10482","17013","9333","27733","4835","26112","3338","14702","2798","11588","2440","11469","763","7379","1","981","0","0","0","0","0","0","20220403"
"202203","6호선","화랑대(서울여대입구)","3","0","4779","968","19046","2240","54066","6853","49106","11696","22426","7986","14475","6537","13063","7876","14258","8173","13380","9176","11794","9053","12602","11101","14796","12592","15070","19442","12887","32303","6269","30165","3922","16696","3467","14384","2522","12690","923","9060","2","1062","0","0","0","0","0","0","20220403"
"202203","7호선","공릉(서울과학기술대)","23","0","5337","910","12817","4044","33724","12156","36936","23613","20244","15947","15324","12670","15199","11251","17584","13698","16685","16031","16511","15211","18918","16662","21086","19288","21293","24409","22919","36327","12021","31693","9632","17629","9169","15236","8681","14426","3327","11019","3","1032","0","0","0","0","0","0","20220403"
"202203","9호선","마곡나루(서울식물원)","3","0","3257","786","8514","7945","25633","14752","25335","42898","12345","19081","9373","10945","10109","10041","11843","10279","12057","11298","12497","11347","14416","11735","17661","13616","28345","19292","39812","30014","16768","26286","13153","13837","13117","11556","11066","11419","5212","7993","14","547","0","0","0","0","0","0","20220403"
"202203","경부선","서울역","4","0","31","232","65","2273","8556","3643","14508","4084","8997","2917","8291","2233","9179","1312","8344","2110","9313","2096","7777","2032","9773","2418","10553","2813","10270","5130","12794","7046","12124","3236","7238","2178","10061","1702","6156","1617","2475","362","16","13","0","0","0","0","0","0","20220403"
"202203","경원선","청량리(서울시립대입구)","1194","21","4944","1213","6802","8982","23183","11443","34936","19211","18907","24286","24386","25594","18929","25819","23087","24650","28637","26968","23114","28245","29061","29508","29897","28625","26364","27253","31844","40876","18054","28366","22486","15056","12376","15229","7425","8838","2733","6602","19","761","0","0","0","0","0","0","20220403"
"202203","경의선","서울역","0","0","697","5","1030","5922","2589","19733","2505","31596","2263","14640","1384","5653","1582","4353","2399","3393","2815","5642","3055","2696","4941","2619","6857","2560","13716","3935","25566","4503","9027","2603","4754","1970","5239","1137","852","110","1260","1058","0","107","0","0","0","0","0","0","20220403"
"202203","공항철도 1호선","마곡나루(서울식물원)","10","1","1716","657","3309","6749","11773","21100","12114","52824","6558","19365","3903","6529","4589","4544","5410","4869","5245","5213","5351","5211","7039","4860","12538","5584","35276","8478","39992","12854","14330","8740","8631","5389","6071","4894","4092","4716","1569","3175","181","2164","4","5","0","0","0","0","20220403"
"202203","공항철도 1호선","서울역","162","1","1965","527","1686","7846","9079","12535","9343","18854","7018","12891","7225","10877","8436","9765","9863","10184","11192","9709","9216","8384","13062","9842","15206","9707","18301","11630","23272","14577","15794","11186","10430","6765","12085","5902","8293","5046","3687","2598","4","1185","0","0","0","0","0","0","20220403"
"202203","분당선","서울숲","107","1","2421","448","4187","4220","11645","15676","18559","36806","12172","23755","6794","15538","7014","11925","8213","12934","9420","15522","10761","14266","13704","14526","17944","14589","29466","15637","41294","21529","20209","13995","14231","7500","12234","6263","8292","5989","2198","3507","45","607","0","0","0","0","0","0","20220403"
